,director,distributor,genre_bomojo,rating,title,releaseDate,isCult,canontitle,num_theaters,leadActor,runtime_mins,releaseYear,rev_opening_ADJ,rev_totalGross_ADJ,prod_budget_ADJ,CULT_INDEX,is_missing_prodbudgetADJ,genre
2278,Rusty Cundieff,Savoy,Horror Comedy,R,Tales from the Hood,1995-05-26,0,talesfromthehood,862,Clarence Williams III,98,1995,7779831.19535,47131727.5728,5915571.77777,1.00064535975,1,Horror
1866,David Stevens,Trans World Ent.,Unknown,R,Kansas,1988-09-23,0,kansas,847,Matt Dillon,110,1988,2667630.81951,10652858.0125,1337053.68196,1.00064500595,1,Unknown
2222,Woody Allen,TriStar,Romantic Comedy,R,Husbands and Wives,1992-09-18,0,husbandsandwives,865,Woody Allen,103,1992,7367394.87805,46226452.7395,5801950.00604,1.00064463089,1,Romantic
5428,David Carson,United Artists,Horror,R,Carrie,1976-11-03,1,carrie,950.25,Angela Bettis,98,1976,13778146.961,564225469.387,70816938.8648,1.00064453487,1,Horror
5167,Brian De Palma,United Artists,Horror,R,Carrie,1976-11-03,1,carrie,950.25,Sissy Spacek,98,1976,13778146.961,564225469.387,70816938.8648,1.00064453487,1,Horror
1953,George P. Cosmatos,Buena Vista,Thriller,R,Shadow Conspiracy,1997-01-31,0,shadowconspiracy,837,Charlie Sheen,103,1997,2613717.77333,8406676.60213,1055131.46923,1.00064403945,1,Thriller
2035,James Burrows,Paramount,Unknown,R,Partners,1982-04-30,0,partners,877,John Hurt,92,1982,6860452.61379,53071191.9534,41927461.1399,1.00064369675,1,Unknown
1745,Don Siegel,MGM,Unknown,R,Jinxed!,1982-10-22,0,jinxed,877,Bette Midler,103,1982,3577892.54483,25119193.6817,113450777.202,1.00064322874,1,Unknown
2154,Ernest R. Dickerson,New Line,Horror,R,Bones,2001-10-26,0,bones,847,Snoop Dogg,92,2001,4326078.9,17175574.6809,21501976.2846,1.00064303469,0,Horror
1792,Phillip Borsos,Orion Pictures,Unknown,R,The Mean Season,1985-02-15,0,meanseason,876,Kurt Russell,104,1985,3825677.36571,26138004.6135,3280620.1293,1.00064261304,1,Unknown
2190,"Annabel Jankel, Rocky Morton",Buena Vista,Crime Thriller,R,D.O.A.,1988-03-18,0,doa,875,Meg Ryan,97,1988,7850557.69756,55645756.5162,6984182.95163,1.00064139088,1,Crime
2189,Corey Yuen,Buena Vista,Crime Thriller,R,DOA: Dead or Alive,1988-03-18,0,doa,875,Jaime Pressly,97,1988,7850557.69756,55645756.5162,6984182.95163,1.00064139088,1,Crime
1750,Mel Smith,Universal,Period Comedy,PG,Radioland Murders,1994-10-21,0,radiolandmurders,844,Mary Stuart Masterson,108,1994,1748583.07317,5766975.64462,723819.722395,1.00064104505,1,Period
1769,Robert Mandel,Orion Pictures,Action Thriller,R,F/X,1986-02-07,0,fx,914,Bryan Brown,108,1986,7514908.94595,110794107.007,13905953.9647,1.00063952371,1,Action
1834,Kevin Smith,Gramercy,Comedy,R,Mallrats,1995-10-20,1,mallrats,852,Shannen Doherty,97,1995,2302309.31163,8450800.41106,1060670.22911,1.00063840093,1,Comedy
5299,Glenn Jordan,Columbia,Comedy / Drama,R,Only When I Laugh,1981-09-23,0,onlywhenilaugh,938.333333333,Marsha Mason,120,1981,10489144.1707,257756140.9,32351420.7393,1.00063791716,1,Comedy
1862,Pat O'Connor,MGM,Unknown,R,The January Man,1989-01-13,0,januaryman,876,Kevin Kline,97,1989,3776172.4,22317540.08,2801106.75474,1.00063721329,1,Unknown
5321,James Toback,MGM,Unknown,R,Exposed,1982-04-23,0,exposed,851.928571429,Nastassja Kinski,99,1982,4277282.36897,15921712.9755,113450777.202,1.00063688068,1,Unknown
1957,Charles Shyer,Warner Bros.,Comedy,PG,Irreconcilable Differences,1984-09-28,0,irreconcilabledifferences,902,Ryan O'Neal,113,1984,7999924.4,83920059.6,10532942.0697,1.00063579061,1,Comedy
1924,Bill Duke,New Line,Crime Drama,R,Deep Cover,1992-04-17,0,deepcover,901,Laurence Fishburne,107,1992,7222593.77561,72871035.0449,9146160.55201,1.00063565838,1,Crime
1962,Kevin Hooks,Warner Bros.,Romantic Comedy,PG-13,Strictly Business,1991-11-08,0,strictlybusiness,881,Tommy Davidson,83,1991,5018834.22857,32064311.6087,4024439.06918,1.00063523625,1,Romantic
1782,Jim Gillespie,Paramount,Unknown,R, Venom,1982-01-29,0,venom,900,Agnes Bruckner,92,1982,4949023.88276,45777347.3181,41927461.1399,1.0006352276,1,Unknown
1928,James Foley,MGM,Unknown,R,Reckless,1984-02-03,0,reckless,897,Aidan Quinn,90,1984,6359641.6,56039832.16,7033647.45713,1.00063433803,1,Unknown
1927,Norman René,MGM,Unknown,R,Reckless,1984-02-03,0,reckless,897,Mia Farrow,90,1984,6359641.6,56039832.16,7033647.45713,1.00063433803,1,Unknown
5227,Ulu Grosbard,Warner Bros.,Crime Drama,R,Straight Time,1978-03-17,0,straighttime,891.5,Dustin Hoffman,114,1978,15616485.9824,137769822.306,17291707.0819,1.00063406448,1,Crime
2034,Mel Brooks,MGM,Comedy,PG-13,Life Stinks,1991-07-26,0,lifestinks,865,Mel Brooks,92,1991,3922724.92857,17120929.4233,22716593.2452,1.00063360412,0,Comedy
2004,Ridley Scott,Columbia,Unknown,R,Someone to Watch Over Me,1987-10-09,0,someonetowatchoverme,892,Tom Berenger,107,1987,6399351.2,49748177.16,6243970.25026,1.00063337999,1,Unknown
1688,John Badham,Buena Vista,Action Comedy,R,Stakeout,1987-08-07,0,stakeout,951,Richard Dreyfuss,116,1987,11374886.6,317858447.72,39894969.1197,1.00063306487,1,Action
5051,David Lynch,Samuel Goldwyn,Crime Comedy,R,Wild at Heart,1990-08-17,1,wildatheart,532,Nicolas Cage,124,1990,3.51351637351E+11,60763773.6536,6836812.97331,1.00063261763,1,Crime
2517,Sofia Coppola,Sony / Columbia,Period Drama,PG-13,Marie Antoinette,2006-10-20,0,marieantoinette,859,Kirsten Dunst,118,2006,7076586,27813009.4704,47222222.2222,1.0006320482,0,Period
5246,Albert Brooks,Paramount,Unknown,PG,Real Life,1979-03-02,0,reallife,799,Albert Brooks,98,1979,3665199.96207,4294981.01261,539062.677808,1.00063175631,1,Unknown
2257,David Lynch,Universal,Sci-Fi Fantasy,PG-13,Dune,1984-12-14,1,dune,915,Kyle MacLachlan,137,1984,15665236.6,209057664.4,91626564.0038,1.00063142508,0,Sci-Fi
1673,Jonathan Demme,Orion Pictures,Comedy,R,Something Wild,1986-11-07,1,somethingwild,914,Jeff Daniels,112,1986,4233689.69189,44970903.6589,5644370.79017,1.00063127011,1,Comedy
1955,Mike Newell,New Line,Period Drama,R,Love in the Time of Cholera,2007-11-16,0,loveinthetimeofcholera,852,Giovanna Mezzogiorno,138,2007,2428720.41176,7335543.11356,920691.963323,1.0006304333,1,Period
5391,Gregg Araki,Strand,Unknown,Unrated,Totally F***ed Up,1994-08-19,0,totallyfedup,968.333333333,James Duval,78,1994,41950.6043478,442622.436908,55554.2566926,1.00063019915,1,Unknown
1938,Richard Baskin,TriStar,Unknown,PG-13,Sing,1989-03-31,0,sing,864,Lorraine Bracco,99,1989,2894918.4,10941381.44,1373266.27376,1.00062988831,1,Unknown
2349,Martin Scorsese,Universal,Thriller,R,Cape Fear,1991-11-15,0,capefear,924,Robert De Niro,128,1991,20961808.2143,330071770.22,41427863.9984,1.00062912604,1,Thriller
5308,Alan Rudolph,MGM,Unknown,R,Endangered Species,1982-09-10,0,endangeredspecies,851.928571429,Robert Urich,97,1982,4277282.36897,12904744.8375,113450777.202,1.00062880965,1,Unknown
1793,Burt Kennedy,New Line,Family Comedy,PG,Suburban Commando,1991-10-04,0,suburbancommando,899,Hulk Hogan,88,1991,3978962.74286,28999432.1819,3639762.78838,1.00062836651,1,Family
2352,Harry Hook,Columbia,Adventure,R,Lord of the Flies,1990-03-16,1,lordoftheflies,888,Balthazar Getty,90,1990,9009933.58571,58364054.2908,7325358.86723,1.00062824697,1,Adventure
1539,Guy Ferland,Vestron,Romance,PG-13,Dirty Dancing: Havana Nights,1987-08-21,0,dirtydancing,975,Diego Luna,105,1987,8580000,307080488.88,12570422.5352,1.00062729489,0,Romance
1540,Emile Ardolino,Vestron,Romance,PG-13,Dirty Dancing,1987-08-21,1,dirtydancing,975,Patrick Swayze,105,1987,8580000,307080488.88,12570422.5352,1.00062729489,0,Romance
2699,Franc. Reyes,Universal,Crime Drama,R,Empire,2002-12-06,0,empire,867,John Leguizamo,90,2002,9292162.18966,38516045.771,5291828.79377,1.00062728277,0,Crime
2296,Franco Amurri,Paramount,Action Comedy,R,Flashback,1990-02-02,0,flashback,875,Kiefer Sutherland,108,1990,5944951.25714,27076621.0584,3398422.83106,1.00062645176,1,Action
1983,Steven Baigelman,New Line,Crime Comedy,R,Feeling Minnesota,1996-09-13,0,feelingminnesota,869,Keanu Reeves,99,1996,3116199.45,11880683.1,1491159.24437,1.00062634875,1,Crime
2041,Michael Gottlieb,Fox,Romantic Comedy,R,Mannequin,1987-02-13,0,mannequin,932,Andrew McCarthy,90,1987,13202657.6,206770588.64,25952124.7952,1.00062602505,1,Romantic
1760,Roland Joffé,Warner Bros.,Crime Thriller,R,Goodbye Lover,1999-04-16,0,goodbyelover,865,Patricia Arquette,101,1999,1735176.3,5713513.09214,28571428.5714,1.00062545589,0,Crime
1770,Aaron Norris,MGM,Action,R,Delta Force 2: The Colombian Connection,1990-08-24,0,deltaforce2,908,Chuck Norris,111,1990,3788231.38571,27954037.5692,3508553.82871,1.00062282725,1,Action
2163,Joseph Ruben,Columbia,Unknown,R,True Believer,1989-02-17,0,truebeliever,897,James Woods,104,1989,6621322.4,42314910,5311006.80511,1.00062274354,1,Unknown
1855,Alan Rudolph,Lorimar,Unknown,PG,Made in Heaven,1987-11-06,0,madeinheaven,898,Kelly McGillis,103,1987,3691938.8,22132569.8,2777890.98619,1.00062223614,1,Unknown
2202,Sergio Leone,Warner Bros.,Unknown,R,Once Upon a Time in America,1984-06-01,0,onceuponatimeinamerica,894,Robert De Niro,229,1984,6271236.4,35973394.08,4515072.33923,1.00062120204,1,Unknown
2007,Arthur Hiller,MGM,Unknown,PG,Romantic Comedy,1983-10-07,0,romanticcomedy,911,Dudley Moore,102,1983,6548546.6129,52532946.4748,6593491.40102,1.00062117331,1,Unknown
2051,Preston Whitmore II,Savoy,War Drama,R,The Walking Dead,1995-02-24,0,walkingdead,891,Eddie Griffin,89,1995,4638721.13023,23945599.3938,3005445.51582,1.00062066811,1,War
1929,Albert Magnoli,Columbia,Sports Drama,PG-13,American Anthem,1986-06-27,0,americananthem,900,Mitchell Gaylord,102,1986,4331668.65405,26057323.3218,3270492.53557,1.00062029207,1,Sports
2021,Ken Kwapis,Paramount,Romantic Comedy,PG-13,"He Said, She Said",1991-02-22,0,hesaidshesaid,908,Kevin Bacon,115,1991,5836777.88571,40917927.3419,5135670.72207,1.00061900085,1,Romantic
2184,Robert Benton,Buena Vista,Crime Drama,R,Billy Bathgate,1991-11-01,0,billybathgate,912,Dustin Hoffman,107,1991,8276819.57143,64958389.3851,83876651.9824,1.00061867005,0,Crime
5397,James Gray,Fine Line,Crime Drama,R,Little Odessa,1995-05-19,0,littleodessa,1078.29279279,Tim Roth,98,1995,96895.404878,4363175.1495,547629.869304,1.00061707959,1,Crime
1788,Matthew Robbins,TriStar,Family Comedy,PG,Bingo,1991-08-09,0,bingo,923,Cindy Williams,89,1991,4374492.57143,36172544.9216,4540072.38877,1.00061607232,1,Family
2207,James D. Parriott,New Line,Fantasy Comedy,R,Heart Condition,1990-02-02,0,heartcondition,885,Denzel Washington,100,1990,4391705.68571,17256418.6547,2165874.77142,1.00061501419,1,Fantasy
1908,Curtis Hanson,DEG,Unknown,R,The Bedroom Window,1987-01-16,0,bedroomwindow,930,Elizabeth McGovern,113,1987,6423245.4,61179463.4,10475352.1127,1.00061446622,1,Unknown
2240,Harley Cokeliss,New World,Unknown,R,Black Moon Rising,1986-01-10,0,blackmoonrising,902,Tommy Lee Jones,100,1986,6435899.74054,35692742.1525,4479846.83276,1.0006144019,1,Unknown
2052,Pat O'Connor,Fox,Period Drama,R,Inventing the Abbotts,1997-04-04,0,inventingtheabbotts,898,Liv Tyler,110,1997,4387503.12,21580853.0589,2708642.44623,1.00061429298,1,Period
1907,Matthew Robbins,TriStar,Unknown,PG-13,The Legend of Billie Jean,1985-07-19,1,legendofbilliejean,903,Helen Slater,96,1985,3595961.34857,18626433.547,2337829.63304,1.00061355039,1,Unknown
1803,Randal Kleiser,Buena Vista,Family Adventure,PG,Flight of the Navigator,1986-08-01,0,flightofthenavigator,952,Veronica Cartwright,90,1986,7223657.36757,99829070.5955,12529712.8598,1.00061208849,1,Family
2028,Stephen Gyllenhaal,Paramount,Drama,R,Losing Isaiah,1995-03-17,0,losingisaiah,912,Jessica Lange,106,1995,5030218.54884,30273763.0807,3799704.02545,1.00061153011,1,Drama
1974,Rick Stevenson,Sony / Columbia,Family Adventure,PG,Magic in the Water,1995-09-01,0,magicinthewater,890,Mark Harmon,98,1995,2905120.15814,10673052.1882,101509186.352,1.00061042066,1,Family
2351,John G. Avildsen,TriStar,Romance,PG-13,For Keeps?,1988-01-15,0,forkeeps,922,Molly Ringwald,98,1988,10128145.9024,76701864.3348,9626968.40634,1.00060988889,1,Romance
2001,Woody Allen,DreamWorks,Comedy Thriller,PG-13,The Curse of the Jade Scorpion,2001-08-24,0,curseofthejadescorpion,903,Woody Allen,102,2001,3768021.91071,17646318.2248,44347826.087,1.00060968031,0,Comedy
1631,Ted Kotcheff,Paramount,War,R,Uncommon Valor,1983-12-16,0,uncommonvalor,989,Gene Hackman,104,1983,8702796.40645,233666198.26,29327852.0274,1.00060923037,1,War
1733,Greg Beeman,Warner Bros.,Family Adventure,PG,Mom and Dad Save the World,1992-07-24,0,momanddadsavetheworld,904,Teri Garr,88,1992,2060512.1122,8909598.88805,1118255.40796,1.00060831224,1,Family
1732,"Ron Clements, John Musker",Buena Vista,Animation,G,The Little Mermaid,1989-11-17,0,littlemermaid,994,voices of Jodi Benson,83,1989,13270210.8,408282376.92,51244237.4711,1.00060768002,1,Animation
2135,Janice Karman,Samuel Goldwyn,Animation,G,The Chipmunk Adventure,1987-05-22,0,chipmunkadventure,916,,76,1987,5686384,32932870.08,4133451.92978,1.00060701378,1,Animation
2125,Wolfgang Petersen,Warner Bros.,Fantasy,PG,The NeverEnding Story,1984-07-20,0,neverendingstory,950,Barret Oliver,92,1984,11247139.8,136273542.08,17103916.0374,1.000606728,1,Fantasy
1731,Steve Barron,MGM,Unknown,PG,Electric Dreams,1984-07-20,0,electricdreams,920,Lenny Von Dohlen,96,1984,2624923.6,14828817.12,1861186.03747,1.00060667065,1,Unknown
1821,Richard Brooks,Columbia,Comedy Thriller,R,Wrong Is Right,1982-05-14,0,wrongisright,934,Sean Connery,117,1982,4179483.68276,31368053.0811,3937052.27557,1.00060564211,1,Comedy
1722,Paul Schibli,Warner Bros.,Animation,G,The Nutcracker Prince,1990-11-21,0,nutcrackerprince,906,voices of Kiefer Sutherland,73,1990,1856955.1,7435481.75634,933236.730224,1.00060443403,1,Animation
1833,Barry Levinson,TriStar,Sports Drama,PG,The Natural,1984-05-11,0,natural,989,Robert Redford,138,1984,13229790.6,324155378.04,40685304.183,1.00060375282,1,Sports
5191,Don Chaffey,Buena Vista,Unknown,G,Pete's Dragon,1984-03-09,0,petesdragon,1284.5,Helen Reddy,128,1984,63551.8,27716000,3478685.6706,1.00060288844,1,Unknown
2075,Hal Ashby,Columbia,Romantic Comedy,PG-13,The Slugger's Wife,1985-03-29,0,sluggerswife,898,Michael O'Keefe,103,1985,3223611.41143,11289216.1633,1416922.90675,1.0006028704,1,Romantic
2188,Phil Joanou,New Line,Thriller,R,Heaven's Prisoners,1996-05-17,0,heavensprisoners,907,Alec Baldwin,133,1996,4502154.15,19047882.2625,2390724.39463,1.00060268761,1,Thriller
1773,Brian De Palma,Universal,Crime Drama,R,Scarface,1983-12-09,1,scarface,996,Al Pacino,170,1983,12724793.1871,342180655.68,42947690.8574,1.00060259923,1,Crime
2196,Sidney Lumet,Fox,Thriller,R,The Morning After,1986-12-26,0,morningafter,955,Jane Fonda,103,1986,11756747.3189,135225395.157,16972360.0561,1.00060166223,1,Thriller
1926,Leonard Nimoy,Buena Vista,Comedy,PG,Three Men and a Baby,1987-11-25,0,threemenandababy,1006,Steve Guttenberg,102,1987,22845662.4,812059846.4,23045774.6479,1.00060134192,0,Comedy
2299,Michael O. Sajbel,8X Entertainment,Period Drama,PG,One Night with the King,2006-10-13,0,onenightwiththeking,909,Tiffany Dupont,123,2006,5439056.04,23341122.4464,23611111.1111,1.00060123544,0,Period
2214,Ken Finkleman,TriStar,Unknown,PG-13,Head Office,1986-01-03,0,headoffice,907,Judge Reinhold,90,1986,4493911.81622,18249806.6936,2290556.48995,1.00060122018,1,Unknown
5239,Miloš Forman,MGM,Musical,PG,Hair,1979-03-14,0,hair,640.75,Treat Williams,121,1979,50368369620.2,180032062.871,36060606.0606,1.00060117203,0,Music
2422,Roger Young,Warner Bros.,Period Action,R,Lassiter,1984-02-17,0,lassiter,945,Tom Selleck,100,1984,13071715.8,118390935.52,14859433.3048,1.00059979788,1,Period
1910,Damian Harris,Buena Vista,Thriller,PG-13,Deceived,1991-09-27,0,deceived,969,Goldie Hawn,108,1991,8818440.24286,119931699.001,27958883.9941,1.00059977145,1,Thriller
1690,Tony Scott,Paramount,Action Drama,PG,Top Gun,1986-05-16,1,topgun,1028,Tom Cruise,110,1986,18999023.2865,950623404.027,119314438.083,1.0005995275,1,Action
1682,David Nixon,Vivendi Entertainment,Drama,PG,Letters to God,2010-04-09,0,letterstogod,897,Robyn Lively,110,2010,1197760.3,3446779.38,3274388.23055,1.00059902168,0,Drama
1921,Taylor Hackford,Columbia,Romance,R,Against All Odds,1984-03-02,0,againstallodds,976,Jeff Bridges,122,1984,9791932.8,146618059.12,18402278.5476,1.00059798939,1,Romance
1717,Mira Nair,Samuel Goldwyn,Romantic Comedy,R,The Perez Family,1995-05-12,0,perezfamily,928,Marisa Tomei,113,1995,2250045.13953,11278661.5439,17178477.6903,1.00059770742,0,Romantic
2086,Tab Murphy,Savoy,Action Drama,PG,Last of the Dogmen,1995-09-08,0,lastofthedogmen,929,Tom Berenger,118,1995,5028690.11163,27967021.6539,3510180.69664,1.00059759701,1,Action
1887,Emilio Estevez,Triumph,Comedy,PG-13,Men at Work,1990-08-24,0,menatwork,962,Charlie Sheen,98,1990,6505092.47143,67807064.4564,8510573.96137,1.00059696826,1,Comedy
1727,James Cameron,Orion Pictures,Sci-Fi Action,R,The Terminator,1984-10-26,1,terminator,1005,Arnold Schwarzenegger,107,1984,10453723.8,259389312,146602502.406,1.00059594945,0,Sci-Fi
5310,Richard T. Heffron,Fox,Unknown,R,"I, the Jury",1982-01-09,0,ithejury,876.272727273,Armand Assante,111,1982,6687101.11034,13266515.6099,1665089.58884,1.00059496973,1,Unknown
2272,Eric Bross,Miramax,Romantic Comedy,PG,On the Line,2001-10-26,0,ontheline,900,Lance Bass,86,2001,3534750.09643,10247738.567,21501976.2846,1.00059429037,0,Romantic
2085,Michael Wadleigh,Warner Bros.,Horror Thriller,R,Wolfen,1981-07-24,0,wolfen,967,Albert Finney,114,1981,9653806.06667,107311555.321,13468847.7302,1.00059405472,1,Horror
2176,Paul Michael Glaser,TriStar,Unknown,R,Band of the Hand,1986-04-11,0,bandofthehand,930,Stephen Lang,109,1986,5184453.40541,26165881.9691,3284116.01293,1.00059346306,1,Unknown
1720,Kevin Munroe,Omni Lab/Freestyle Releasing,Horror Comedy,PG-13,Dylan Dog: Dead of Night,2011-04-29,0,dylandog,875,Brandon Routh,107,2011,819747.318987,1399593.9116,175663.74712,1.00059337548,1,Horror
1630,Steven Spielberg,Universal,Drama,PG,Always,1989-12-22,0,always,1016,Richard Dreyfuss,123,1989,8169656,212276543.6,26643198.5779,1.00059244029,1,Drama
2084,James Foley,Warner Bros.,Unknown,PG,Who's That Girl,1987-08-07,0,whosthatgirl,944,Madonna,94,1987,5606051,35357211.56,4437735.6402,1.00059198233,1,Unknown
2475,Mario Van Peebles,Gramercy,Western,R,Posse,1993-05-14,0,posse,949,Mario Van Peebles,111,1993,11116126.6244,80096758.4125,10053065.5457,1.00059055535,1,Western
2474,Kirk Douglas,Gramercy,Western,R,Posse,1993-05-14,0,posse,949,Kirk Douglas,111,1993,11116126.6244,80096758.4125,10053065.5457,1.00059055535,1,Western
2389,Michael Pressman,Paramount,Comedy / Drama,R,Some Kind of Hero,1982-04-02,0,somekindofhero,975,Richard Pryor,97,1982,16660859.9793,207204220.815,26006542.9887,1.0005901254,1,Comedy
5083,Charles Band,Universal,Unknown,PG,Metalstorm: The Destruction of Jared-Syn,1983-08-19,0,metalstorm,549,Kelly Preston,84,1983,5.31360125101E+11,40608407.2627,23895582.3293,1.00059008398,1,Unknown
5007,Ice Cube,New Line,Comedy,R,The Players Club,1998-04-10,0,playersclub,593,Bernie Mac,103,1998,1.90248894857E+11,80184607.5897,9636479.99706,1.00059003882,1,Comedy
1588,Jonathan Lynn,Paramount,Comedy Thriller,PG,Clue,1985-12-13,1,clue,1006,Tim Curry,96,1985,4937584.08,88003129.8572,11045422.5633,1.00058949587,1,Comedy
1826,Barry Levinson,Paramount,Crime Comedy,R,Jimmy Hollywood,1994-04-01,0,jimmyhollywood,944,Joe Pesci,117,1994,3036482.92683,16566987.6293,48178137.6518,1.00058941879,0,Crime
2130,Mike Figgis,Paramount,Crime Thriller,R,Internal Affairs,1990-01-12,0,internalaffairs,975,Richard Gere,117,1990,10303182.6857,115742971.747,14527088.7552,1.00058920895,1,Crime
5316,Lee Hays,MGM,Unknown,PG,The Weavers: Wasn't That a Time!,1982-03-03,0,weavers,851.928571429,The Weavers,78,1982,4277282.36897,4588577.61346,113450777.202,1.00058908619,1,Unknown
1883,Jeff Kanew,Columbia,Unknown,PG,Troop Beverly Hills,1989-03-24,0,troopbeverlyhills,964,Shelley Long,100,1989,5023574.6,41182800.12,5168917.21642,1.00058895729,1,Unknown
1488,Randall Miller,Freestyle Releasing,Crime Thriller,R,Nobel Son,2008-12-05,0,nobelson,893,Alan Rickman,110,2008,403516.191549,789148.531339,99046.567394,1.00058851935,1,Crime
2115,Tim Burton,Warner Bros.,Horror Comedy,PG,Beetlejuice,1988-04-01,1,beetlejuice,1000,Michael Keaton,92,1988,16806121.039,322788693.157,40513761.0268,1.00058839919,1,Horror
2019,Richard Donner,Columbia,Drama,PG-13,Radio Flyer,1992-02-21,0,radioflyer,940,Elijah Wood,113,1992,4044308.56098,20372504.4392,2556981.17403,1.00058799626,1,Drama
1686,Robert Taylor,Paramount,Unknown,G,Heidi's Song,1982-11-19,0,heidissong,982,Lorne Greene,94,1982,4191516.3931,44856030.6317,41927461.1399,1.00058788907,1,Unknown
5337,Bruno Bianchi,Atlantic,Animation,G,Heathcliff: The Movie,1986-01-17,0,heathcliff,1022.6,Mel Blanc,92,1986,879368.837838,14038663.6122,1762016.35024,1.0005875158,1,Animation
2008,Phillip Noyce,Warner Bros.,Unknown,R,Dead Calm,1989-04-07,0,deadcalm,959,Nicole Kidman,96,1989,5419812.2,37873043.56,4753502.73105,1.00058631025,1,Unknown
1804,Martha Coolidge,TriStar,Comedy,PG,Real Genius,1985-08-09,1,realgenius,990,Val Kilmer,106,1985,6268744.11429,77835184.6132,9769222.18079,1.0005859175,1,Comedy
2121,Michael Cimino,MGM,Action / Crime,R,Year of the Dragon,1985-08-16,0,yearofthedragon,982,Mickey Rourke,134,1985,10033890.8057,112422555.105,14110337.7996,1.00058505437,1,Action
1985,Bob Clark,DEG,Unknown,PG,From the Hip,1987-02-06,0,fromthehip,970,Judd Nelson,111,1987,5819961.4,46068775.28,10475352.1127,1.00058349434,1,Unknown
2098,Andrei Konchalovsky,Cannon Films,Action Thriller,R,Runaway Train,1985-12-06,0,runawaytrain,965,Jon Voight,111,1985,6377342.4,46174730.0709,5795460.42478,1.00058316675,1,Action
1840,Harold Becker,Warner Bros.,Sports Drama,R,Vision Quest,1985-02-15,1,visionquest,993,Matthew Modine,107,1985,6500367.34286,78082511.6793,9800264.13223,1.00058289896,1,Sports
1655,Steven Spielberg,Paramount,Period Adventure,PG,Raiders of the Lost Ark,1981-06-12,0,raidersofthelostark,1078,Harrison Ford,115,1981,26394059.7556,2143075649,47128712.8713,1.00058279117,0,Period
1796,Christopher Cain,Warner Bros.,Music Drama,PG,Pure Country,1992-10-23,0,purecountry,993,George Strait,113,1992,5733281.56098,66410041.9935,8335232.85373,1.00058236697,1,Music
1971,Joseph Ruben,PolyGram,Drama / Thriller,R,Return to Paradise,1998-08-14,0,returntoparadise,965,Vince Vaughn,112,1998,4598001.48261,29018941.2584,3642210.01676,1.00057992517,1,Drama
2292,,Cannon Films,Sports Action,R,Kickboxer,1989-09-08,0,kickboxer,973,Jean-Claude Van Damme,97,1989,9095015.6,71133504.2,8928075.67139,1.0005794109,1,Sports
1960,Simon Wincer,MGM,Western,PG-13,Quigley Down Under,1990-10-19,0,quigleydownunder,996,Tom Selleck,120,1990,7871432.95714,89362568.1929,11216041.5587,1.00057840232,1,Western
2105,Savage Steve Holland,Warner Bros.,Comedy,PG,One Crazy Summer,1986-08-08,0,onecrazysummer,984,John Cusack,89,1986,7963056.25946,72227991.4695,9065449.31324,1.00057822021,1,Comedy
2079,Franc Roddam,Columbia,Unknown,PG-13,The Bride,1985-08-16,0,bride,955,Sting,119,1985,4322547.61714,21385828.6181,2684164.71825,1.00057790928,1,Unknown
2030,Desmond Nakano,Savoy,Fantasy Drama,R,White Man's Burden,1995-12-01,0,whitemansburden,948,John Travolta,89,1995,3478393.85581,14870074.8441,10931758.5302,1.00057785542,0,Fantasy
2597,Ted Demme,New Line,Comedy,R,Who's the Man?,1993-04-23,0,whostheman,954,Ice-T,90,1993,9486952.03902,49485154.2875,6210950.82861,1.00057755639,1,Comedy
5025,Mark Steven Johnson,Buena Vista,Drama,PG,Simon Birch,1998-09-11,0,simonbirch,596,Ian Michael Smith,125,1998,2.08900956857E+11,63504286.3897,7500976.76606,1.00057746749,1,Drama
2668,Alan Rudolph,Columbia,Drama / Thriller,R,Mortal Thoughts,1991-04-19,0,mortalthoughts,963,Demi Moore,102,1991,12397127.6,78394609.3251,9839422.82355,1.00057740637,1,Drama
2179,Prince,Warner Bros.,Unknown,PG-13,Under the Cherry Moon,1986-07-04,0,underthecherrymoon,976,Prince,100,1986,7306737.27568,54260121.0691,6810270.53667,1.00057686217,1,Unknown
2103,Harry Winer,Fox,Unknown,PG,SpaceCamp,1986-06-06,0,spacecamp,979,Kate Capshaw,104,1986,6766772.36757,52148475.772,6545235.28993,1.00057661541,1,Unknown
2405,Brian De Palma,Paramount,Period Action,R,The Untouchables,1987-06-05,0,untouchables,1012,Sean Connery,119,1987,22050806.8,369148997.36,46332515.746,1.00057600462,1,Period
1943,Michael Ritchie,Columbia,Comedy,R,The Survivors,1983-06-24,0,survivors,1006,Walter Matthau,102,1983,8427572.14839,107245535.9,13460564.2683,1.00057588767,1,Comedy
2042,Roger Donaldson,Orion Pictures,Unknown,PG,The Bounty,1984-05-04,0,bounty,986,Mel Gibson,130,1984,6817995.6,58227003.12,7308162.25129,1.00057580193,1,Unknown
1912,Don Coscarelli,MGM,Fantasy,PG,The Beastmaster,1982-08-20,1,beastmaster,1013,Marc Singer,118,1982,8744620.61379,123042923.646,15443322.5627,1.00057483076,1,Fantasy
1675,Mike Nichols,Fox,Romantic Comedy,R,Working Girl,1988-12-23,0,workinggirl,1051,Melanie Griffith,114,1988,9874293,279310856.075,35056793.8162,1.00057408664,1,Romantic
