title,isCult
"Les Triplettes de Belleville (The Triplets of Belleville, also known as Belleville Rendez-vous)",1
Willard,1
9 Songs,1
Anchorman: The Legend of Ron Burgundy,1
Eternal Sunshine of the Spotless Mind,1
Garden State,1
Gegen die Wand (Head-On),1
I Heart Huckabees,1
It's All Gone Pete Tong,1
Kung Fu Hustle,1
The Machinist,1
Maindo Gēmu (Mind Game),1
Mean Girls,1
Napoleon Dynamite,1
Nochnoy Dozor (Night Watch),1
Primer,1
Shaun of the Dead,1
"Swades (We, the People)",1
Team America: World Police,1
Bloodrayne,1
Brick,1
Calvaire,1
The Descent,1
The Devil's Rejects,1
Double Down,1
The Hitchhiker's Guide to the Galaxy,1
Junebug,1
Kiss Kiss Bang Bang,1
Lords of Dogtown,1
Me and You and Everyone We Know,1
MirrorMask,1
The New World,1
Les Poupées Russes (Russian Dolls),1
The Proposition,1
Romanzo Criminale,1
Serenity,1
Sin City,1
Waiting,1
300,1
Behind the Mask: The Rise of Leslie Vernon,1
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,1
Brand upon the Brain!,1
Bug,1
Clerks II,1
Cocaine Cowboys,1
Daft Punk's Electroma,1
Dikkenek,1
The Fall,1
Fido,1
The Fountain,1
Friends with Money,1
Gedo Senki (Tales from Earthsea),1
Grandma's Boy,1
Hangul (The Host),1
Idiocracy,1
Khosla Ka Ghosla (Khosla's Nest),1
Poultrygeist: Night of the Chicken Dead,1
A Scanner Darkly,1
Shortbus,1
Skinwalkers,1
Slither,1
Snakes On A Plane,1
Tenacious D in: The Pick of Destiny,1
Trailer Park Boys: The Movie,1
V for Vendetta,1
The Wicker Man,1
Wristcutters: A Love Story,1
À l'intérieur (Inside),1
Blood & Chocolate,1
Control,1
The Darjeeling Limited,1
Ex Drummer,1
Gone Baby Gone,1
Grindhouse,1
Heima,1
Hot Fuzz,1
Hot Rod,1
I'm Not There,1
Mr. Brooks,1
REC,1
Shoot 'Em Up,1
The Signal,1
Stuck,1
Trick 'r Treat,1
Zodiac,1
Birdemic: Shock and Terror,1
Gomorrah,1
In Bruges,1
JCVD,1
Låt den rätte komma in (Let the Right One In),1
Mamma Mia!,1
Pineapple Express,1
Repo! The Genetic Opera,1
Speed Racer,1
Stilyagi (Hipsters),1
"Synecdoche, New York",1
ThanksKilling,1
Tōkyō Zankoku Keisatsu (Tokyo Gore Police),1
Antichrist,1
Bad Lieutenant: Port of Call New Orleans,1
Les Barons (The Barons),1
Big Fan,1
Black Dynamite,1
The Boondock Saints II: All Saints Day,1
Enter the Void,1
The House of the Devil,1
The Human Centipede (First Sequence),1
Kaminey (The Scoundrels),1
Mr. Nobody,1
Observe and Report,1
Splice,1
Trash Humpers,1
Exit Through the Gift Shop,1
Gandu,1
Kick-Ass,1
The Kids Are All Right,1
Kyonyū doragon: Onsen zonbi vs sutorippaa (Big Tits Zombie),1
MacGruber,1
Machete,1
Scott Pilgrim vs. the World,1
Sint (Saint (Nick)),1
Trolljegeren (Trollhunter),1
Tucker & Dale vs. Evil,1
Attack the Block,1
Hobo with a Shotgun,1
Hoshi o Ou Kodomo (Children Who Chase Lost Voices),1
Paul,1
The Raid: Redemption,1
Srpski film (A Serbian Film),1
Texas Killing Fields (also known as The Fields),1
A Very Harold and Kumar 3D Christmas,1
Dredd,1
Gangs of Wasseypur,1
Holy Motors,1
It's Such a Beautiful Day,1
Jack & Diane,1
John Dies at the End,1
Spring Breakers,1
