,director,distributor,genre_bomojo,rating,title,releaseDate,isCult,canontitle,num_theaters,leadActor,runtime_mins,releaseYear,rev_opening_ADJ,rev_totalGross_ADJ,prod_budget_ADJ,CULT_INDEX,is_missing_prodbudgetADJ,genre,lifetimeRevenue
290,Noah Baumbach,IDP,Comedy / Drama,R,The Squid and the Whale,2005-10-05,0.0,squidandthewhale,4.0,Laura Linney,81.0,2005,174072.1125,13250833.3798,18279569.8925,4.14850414393,0,Comedy,2888555.52019
356,Derek Cianfrance,Weinstein Company,Drama,R,Blue Valentine,2010-12-29,0.0,bluevalentine,4.0,Ryan Gosling,112.0,2010,213100.8,11744656.88,1091462.74352,4.11456303339,0,Drama,3507266.69626
122,Shari Springer Berman and Robert Pulcini,Magnolia,Comedy,R,The Extra Man,2010-07-30,0.0,extraman,2.0,Kevin Kline,108.0,2010,20747.1,548586.17,68854.0061518,3.94807975084,1,Comedy,163822.410798
303,Noah Baumbach,Focus Features,Comedy / Drama,R,Greenberg,2010-03-19,0.0,greenberg,3.0,Ben Stiller,107.0,2010,129967.2,5123345.7,643040.190039,3.92398285965,1,Comedy,1529967.19535
213,Jeff Nichols,Sony Classics,Drama,R,Take Shelter,2011-09-30,0.0,takeshelter,3.0,Michael Shannon,120.0,2011,56520.478481,2040989.62433,5290323.15428,3.8745202548,0,Drama,656969.216057
226,Michael Radford,Sony Classics,Period Drama,R,The Merchant of Venice,2004-12-29,0.0,merchantofvenice,4.0,Al Pacino,138.0,2004,96688.2967742,7211467.52325,37797776.6014,3.86116697529,0,Period,1493318.6336
146,Rebecca Miller,MGM,Drama,R,Personal Velocity: Three Portraits,2002-11-22,0.0,personalvelocity,2.0,Kyra Sedgwick,85.0,2002,44294.9896552,1775413.54648,222835.29938,3.77777177946,1,Drama,334672.723782
256,Rian Johnson,Focus Features,Drama / Thriller,R,Brick,2006-03-31,1.0,brick,2.0,Joseph Gordon-Levitt,110.0,2006,110317.68,3616774.6032,453947.742455,3.77452249089,1,Drama,832793.128605
281,"Brian Koppelman, David Levien",Anchor Bay Films,Comedy / Drama,R,Solitary Man,2010-05-21,0.0,solitaryman,4.0,Michael Douglas,90.0,2010,104429.6,5276263.08,16371941.1527,3.77199661132,0,Comedy,1575632.38929
255,Noah Baumbach,Paramount Vantage,Comedy / Drama,R,Margot at the Wedding,2007-11-16,0.0,margotatthewedding,2.0,Nicole Kidman,93.0,2007,102247.102941,3119494.95,391533.2825,3.72421906009,1,Comedy,761581.219224
371,Todd Haynes,Focus Features,Period Drama,PG-13, Far from Heaven,2002-11-08,0.0,farfromheaven,6.0,Julianne Moore,107.0,2002,312547.210345,34798955.9074,178599221.79,3.49800258019,0,Period,6559745.68931
274,Terry Zwigoff,MGM,Comedy,R,Ghost World,2001-07-20,1.0,ghostworld,5.0,Thora Birch,111.0,2001,151361.925,14596162.5996,9407114.62451,3.48190965138,0,Comedy,2635142.73754
343,Bill Condon,Fox Searchlight,Period Drama,R,Kinsey,2004-11-12,0.0,kinsey,5.0,Liam Neeson,124.0,2004,233926.780645,19639298.5446,13859184.7538,3.47700132324,0,Period,4066818.62923
283,Todd Field,New Line,Drama,R,Little Children,2006-10-06,0.0,littlechildren,5.0,Kate Winslet,130.0,2006,129297.96,9518764.3056,30694444.4444,3.39027232816,0,Drama,2191776.47938
190,Michael Corrente,City Lights Pictures Releasing,Crime Drama,R,Brooklyn Rules,2007-05-11,0.0,brooklynrules,1.0,Alec Baldwin,95.0,2007,52755.6441176,729528.334879,9184756.3917,3.37602126447,0,Crime,178104.176362
380,Jay and Mark Duplass,Fox Searchlight,Comedy,R,Cyrus,2010-06-18,0.0,cyrus,4.0,John C. Reilly,92.0,2010,199887.6,9037412.56,7640239.20461,3.37541146702,0,Comedy,2698811.58862
233,Richard Loncraine,Freestyle Releasing,Period Comedy,PG-13,My One and Only,2009-08-21,0.0,myoneandonly,4.0,Renée Zellweger,85.0,2009,67143.648,3245060.64397,407293.341137,3.35878833212,1,Period,902085.205914
341,Oliver Stone,Fox Searchlight,Comedy / Drama,R,Savages,2007-11-28,0.0,savages,4.0,Taylor Kitsch,113.0,2007,191610.326471,10544278.844,86107091.1722,3.35868998251,1,Comedy,2574238.73625
342,Tamara Jenkins,Fox Searchlight,Comedy / Drama,R,The Savages,2007-11-28,0.0,savages,4.0,Laura Linney,113.0,2007,191610.326471,10544278.844,86107091.1722,3.35868998251,1,Comedy,2574238.73625
340,James Ivory,Fox Searchlight,Comedy / Drama,R,Savages,2007-11-28,0.0,savages,4.0,Susan Blakely,113.0,2007,191610.326471,10544278.844,86107091.1722,3.35868998251,1,Comedy,2574238.73625
128,Harmony Korine,IFC,Comedy / Drama,Unrated,Mister Lonely,2008-05-02,0.0,misterlonely,1.0,Diego Luna,108.0,2008,20264.5098592,244457.268289,30682.2329602,3.1356211079,1,Comedy,63541.8248556
458,Terrence Malick,Fox Searchlight,Drama,PG-13,The Tree of Life,2011-05-27,0.0,treeoflife,4.0,Brad Pitt,138.0,2011,405019.443038,15692075.8346,33858068.1874,3.11780362734,0,Drama,5051084.35458
292,Rian Johnson,Summit Entertainment,Crime Comedy,PG-13,The Brothers Bloom,2009-05-15,0.0,brothersbloom,4.0,Adrien Brody,109.0,2009,103417.6,4622136.22042,580132.531929,3.10608286267,1,Crime,1284894.54023
149,Tom Kalin,IFC,Crime Drama,Unrated, Savage Grace,2008-05-28,0.0,savagegrace,2.0,Julianne Moore,96.0,2008,26961.743662,636343.023892,79868.5152981,3.06739740025,1,Crime,165404.76483
127,Henry Bromell,Roxie,Crime Drama,R, Panic,2000-12-01,0.0,panic,4.0,William H. Macy,88.0,2000,29149.3358491,2041910.32562,1382113.82114,3.03468403296,0,Crime,353836.09629
178,Todd Solondz,IFC,Comedy / Drama,R,Life During Wartime,2010-07-23,0.0,lifeduringwartime,1.0,Ally Sheedy,98.0,2010,33557.7,340550.87,49115823.4582,3.03052774811,0,Comedy,101697.541013
181,Todd Stephens,TLA Releasing,Comedy,Unrated,Another Gay Movie,2006-07-28,0.0,anothergaymovie,2.0,Michael Carbonaro,92.0,2006,43977.12,1139759.5968,143053.211156,2.98381687704,1,Comedy,262439.345719
159,Peter Yates,Warner Bros.,Unknown,PG,Eleni,1985-11-01,0.0,eleni,1.0,Kate Nelligan,114.0,1985,68333.5714286,1833511.09166,61933085.5019,2.97225728872,1,Unknown,203104.955743
297,Craig Gillespie,MGM,Comedy,PG-13,Lars and the Real Girl,2007-10-12,0.0,larsandtherealgirl,7.0,Ryan Gosling,106.0,2007,114086.241176,9509131.00557,13777134.5876,2.90697607759,0,Comedy,2321521.81717
195,Maggie Greenwald,Lions Gate,Music Drama,PG-13,Songcatcher,2001-06-15,0.0,songcatcher,7.0,Janet McTeer,109.0,2001,64299.4392857,7182843.22951,901531.636489,2.88108859902,1,Music,1296766.67014
232,Ari Folman,Sony Classics,Foreign,R,Waltz with Bashir,2008-12-25,0.0,waltzwithbashir,5.0,Ari Folman,90.0,2008,60447.9126761,3335225.97745,418610.171978,2.8683403369,1,Foreign,866925.93105
337,"Scott McGehee, David Siegel",Fox Searchlight,Drama / Thriller,R, The Deep End,2001-08-10,0.0,deepend,6.0,Tilda Swinton,101.0,2001,217337.528571,20711910.7585,4031620.55336,2.86747502137,0,Drama,3739259.60631
375,Mike Mills,Focus Features,Drama,R,Beginners,2011-06-03,0.0,beginners,5.0,Ewan McGregor,104.0,2011,153505.974684,6830712.53103,33858068.1874,2.86467226804,0,Drama,2198721.54327
230,Todd Graff,IFC,Comedy,PG-13, Camp,2003-07-25,0.0,camp,3.0,Daniel Letterle,114.0,2003,77640.42,3332904.8038,418318.798586,2.82324924707,1,Comedy,657594.771922
302,Barry Levinson,Warner Bros.,Comedy / Drama,R,Liberty Heights,1999-11-19,0.0,libertyheights,4.0,Adrien Brody,132.0,1999,163443.852,11003790.7774,1381105.52349,2.80507256812,1,Comedy,1833887.46269
298,David Lynch,Buena Vista,Drama,G,The Straight Story,1999-10-15,0.0,straightstory,7.0,Richard Farnsworth,111.0,1999,158407.392,18265830.7329,2292577.44165,2.74534103848,1,Drama,3044176.19839
412,Christopher Nolan,Newmarket,Thriller,R,Memento,2001-03-16,1.0,memento,11.0,Guy Pearce,113.0,2001,360801.257143,59965597.8003,12094861.6601,2.72776462014,0,Thriller,10825989.9455
324,Kenneth Lonergan,Paramount Classics,Drama,R,You Can Count on Me,2000-11-10,0.0,youcancountonme,8.0,Laura Linney,111.0,2000,191301.622642,24067143.1234,3020710.68825,2.72509326008,1,Drama,4170518.10002
250,John Cameron Mitchell,Lionsgate,Drama,PG-13, Rabbit Hole,2010-12-17,0.0,rabbithole,5.0,Nicole Kidman,92.0,2010,59155.8,2697160.18,5457313.71758,2.72312677852,0,Drama,805443.715423
187,Francis Ford Coppola,American Zoetrope,Drama,R,Tetro,2009-06-11,0.0,tetro,2.0,Vincent Gallo,127.0,2009,34896.576,678608.408192,85173.3030897,2.70290739931,1,Drama,188644.426962
350,Lee Toland Krieger,Sony Classics,Comedy / Drama,R,Celeste and Jesse Forever,2012-08-03,0.0,celesteandjesseforever,4.0,Rashida Jones,91.0,2012,117062.696203,3650520.61742,458183.251213,2.70191546456,1,Comedy,1265174.03677
280,Max Mayer,Fox Searchlight,Comedy / Drama,PG-13, Adam,2009-07-29,0.0,adam,4.0,Hugh Dancy,95.0,2009,78223.288,2980510.13146,374089.097918,2.64800796652,1,Comedy,828543.559166
366,E. Elias Merhige,Lions Gate,Horror Comedy,R,Shadow of the Vampire,2000-12-29,1.0,shadowofthevampire,6.0,John Malkovich,93.0,2000,243107.015094,21735796.3852,2728098.98195,2.58221432095,1,Horror,3766526.4954
200,Joshua Seftel,First Look,Comedy,R,"War, Inc.",2008-05-23,0.0,warinc,2.0,John Cusack,106.0,2008,42701.8140845,848263.625011,106467.021868,2.5817325592,1,Comedy,220489.327518
215,Andrew Jarecki,Magnolia,Thriller,R,All Good Things,2010-12-03,0.0,allgoodthings,2.0,Ryan Gosling,101.0,2010,40889.2,704249.04,88391.4921784,2.57167517363,1,Thriller,210307.481019
188,Gus Van Sant,IFC,Drama,R,Paranoid Park,2008-03-07,0.0,paranoidpark,2.0,Gabe Nevins,80.0,2008,36045.6676056,710851.699639,89220.2149438,2.56302395751,1,Drama,184771.819275
253,Jamie Babbit,Lions Gate,Comedy,R,But I'm a Cheerleader,2000-07-07,0.0,butimacheerleader,4.0,Natasha Lyonne,84.0,2000,97795.8113208,5780360.25214,725503.359545,2.56059050311,1,Comedy,1001660.10285
231,Terence Davies,Sony Classics,Period Drama,PG,The House of Mirth,2000-12-22,0.0,houseofmirth,7.0,Gillian Anderson,140.0,2000,78952.1886792,7975635.89383,1001036.45975,2.50074019726,1,Period,1382072.38324
282,Chris Weitz,Summit Entertainment,Drama,PG-13,A Better Life,2011-06-24,0.0,abetterlife,4.0,Demián Bichir,97.0,2011,67431.1974684,2075144.99172,10580646.3086,2.47646278641,0,Drama,667963.404694
234,Peter Hedges,United Artists,Comedy / Drama,PG-13,Pieces of April,2003-10-17,0.0,piecesofapril,6.0,Katie Holmes,80.0,2003,69243.46,5170865.0136,388043.478261,2.45566223763,0,Comedy,1020231.29955
179,Charles Burnett,Milestone,Drama,Unrated,Killer of Sheep,2007-03-30,0.0,killerofsheep,2.0,,83.0,2007,33000.1941176,643997.031384,80829.1701938,2.38215114743,1,Drama,157222.900565
270,Robert M. Young,MGM,Unknown,PG,Rich Kids,1979-08-17,0.0,richkids,5.0,Trini Alvarado,101.0,1979,182115.648,21862563.1361,2744009.84564,2.3431478906,1,Unknown,2133619.48229
523,Stanley Kubrick,Warner Bros.,Horror,R,The Shining,1980-05-23,1.0,shining,10.0,Jack Nicholson,146.0,1980,2053712.1,479349202.86,54878640.7767,2.32337681306,0,Horror,47715470.7384
182,Arthur Penn,Cinedigm Entertainment,Thriller,R,Night Moves,2014-05-30,0.0,nightmoves,2.0,Gene Hackman,112.0,2014,22761.362963,304917.311111,38270.6778186,2.32139629385,1,Thriller,105676.28725
310,Richard Linklater,Fox Searchlight,Animation,R, Waking Life,2001-10-19,0.0,wakinglife,4.0,Ethan Hawke,99.0,2001,136325.475,6811035.80774,854865.245574,2.25497434099,1,Animation,1229641.79259
196,Lynn Shelton,Magnolia,Comedy,R,Humpday,2009-07-10,0.0,humpday,2.0,Mark Duplass,93.0,2009,32875.128,533148.945472,66916.4246274,2.25411386112,1,Comedy,148208.563422
376,Nicole Holofcener,Sony Classics,Comedy / Drama,R,Please Give,2010-04-30,0.0,pleasegive,5.0,Catherine Keener,90.0,2010,129935.3,4880624.54,3274388.23055,2.24339991655,0,Comedy,1457484.20588
346,Catherine Hardwicke,Fox Searchlight,Drama,R,Thirteen,2003-08-20,0.0,thirteen,5.0,Evan Rachel Wood,95.0,2003,166251.8,9408672.8307,2586956.52174,2.23319912526,0,Drama,1856366.87167
327,"Marjane Satrapi, Vincent Paronnaud",Sony Classics,Animation,PG-13,Persepolis,2007-12-25,0.0,persepolis,7.0,Chiara Mastroianni,95.0,2007,112077.511765,7077866.60896,888355.721595,2.20250950725,1,Animation,1727962.49648
483,Woody Allen,DreamWorks,Thriller,R,Match Point,2005-12-28,0.0,matchpoint,8.0,Jonathan Rhys Meyers,124.0,2005,534363.740625,41609673.327,18279569.8925,2.12180204802,0,Thriller,9070512.63396
254,Rodrigo García,Sony Classics,Drama,R,Mother and Child,2010-05-07,0.0,motherandchild,4.0,Naomi Watts,125.0,2010,47344.0,1343715.89,7640239.20461,2.11890249192,0,Drama,401269.27831
440,Alejandro González Iñárritu,Focus Features,Drama,R,21 Grams,2003-11-21,0.0,21grams,8.0,Sean Penn,125.0,2003,392469.22,33312394.3724,25869565.2174,2.09336858562,0,Drama,6572661.88777
237,Douglas McGrath,MGM,Period Drama,PG,Nicholas Nickleby,2002-12-27,0.0,nicholasnickleby,5.0,Charlie Hunnam,132.0,2002,63409.1586207,3473304.47197,435940.64952,2.06510267695,1,Period,654732.116053
377,István Szabó,Sony Classics,Period Comedy,R,Being Julia,2004-10-15,0.0,beingjulia,9.0,Annette Bening,105.0,2004,169128.406452,14821043.8814,1860215.92417,2.01626939962,1,Period,3069075.87481
236,Richard Eyre,Lions Gate,Period Drama,R,Stage Beauty,2004-10-08,0.0,stagebeauty,3.0,Billy Crudup,105.0,2004,53492.1483871,1498340.78775,188059.370383,1.9334286014,1,Period,310269.748926
398,Joshua Marston,Fine Line,Foreign,R,Maria Full of Grace,2004-07-16,0.0,mariafullofgrace,7.0,Catalina Sandino Moreno,101.0,2004,192449.4,12504875.4483,1569509.33871,1.92217799516,1,Foreign,2589454.01303
418,Sean Durkin,Fox Searchlight,Drama,R,Martha Marcy May Marlene,2011-10-21,0.0,marthamarcymaymarlene,4.0,Elizabeth Olsen,120.0,2011,149499.440506,3527624.51931,33858068.1874,1.8988340769,1,Drama,1135498.52844
445,Kevin Smith,SModcast Pictures,Horror Thriller,R,Red State,2011-03-05,0.0,redstate,1.0,Michael Angarano,97.0,2011,221809.291139,1303039.76903,163546.404254,1.89095920636,1,Horror,419432.321136
